               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 101,            0.038437,            0.014153,           0.0048938,             0.94047,             0.91515,             0.94598,             0.44582,             0.04871,            0.012986,           0.0029067,              0.0067,              0.0067,              0.0067
                 102,            0.038726,            0.014428,           0.0052746,             0.95789,             0.89473,             0.92733,             0.47041,            0.041649,            0.013127,           0.0038246,            0.006667,            0.006667,            0.006667
                 103,            0.038908,            0.014243,           0.0047893,             0.96409,             0.89476,             0.94273,             0.46333,            0.042746,            0.013094,           0.0038235,            0.006634,            0.006634,            0.006634
                 104,            0.039273,            0.014296,           0.0051725,             0.96641,             0.94248,             0.96577,             0.45997,            0.042525,            0.012965,           0.0029865,            0.006601,            0.006601,            0.006601
                 105,            0.037059,            0.013803,           0.0038224,             0.95548,             0.93544,             0.96067,             0.45649,            0.042028,            0.012886,            0.002616,            0.006568,            0.006568,            0.006568
                 106,            0.038438,            0.014331,           0.0047027,             0.96272,             0.93332,             0.96541,              0.4531,            0.042111,            0.012681,           0.0025702,            0.006535,            0.006535,            0.006535
                 107,            0.039021,            0.013598,           0.0050649,             0.93261,             0.90427,             0.93792,             0.45558,            0.043828,            0.012534,           0.0027964,            0.006502,            0.006502,            0.006502
                 108,            0.039982,            0.014159,           0.0050701,             0.96735,             0.94709,             0.97502,             0.49374,            0.038512,             0.01249,           0.0032714,            0.006469,            0.006469,            0.006469
                 109,            0.040085,            0.014042,           0.0078418,             0.95873,             0.93929,             0.95898,             0.45804,            0.038619,            0.012458,            0.003402,            0.006436,            0.006436,            0.006436
                 110,            0.036659,            0.013945,           0.0048841,             0.97324,             0.93718,             0.96912,             0.46831,            0.038806,            0.012593,           0.0032587,            0.006403,            0.006403,            0.006403
                 111,            0.039711,            0.013393,            0.003945,             0.96541,              0.9473,             0.95711,             0.44926,            0.042516,            0.012965,           0.0030304,             0.00637,             0.00637,             0.00637
                 112,            0.038674,            0.013952,           0.0039263,             0.94766,              0.9099,              0.9511,             0.43994,            0.043242,            0.012949,           0.0033655,            0.006337,            0.006337,            0.006337
                 113,            0.039093,            0.014388,           0.0056258,             0.94286,             0.91929,             0.96442,              0.4706,            0.039594,            0.012826,           0.0035769,            0.006304,            0.006304,            0.006304
                 114,            0.038905,            0.013911,           0.0051733,             0.95695,             0.93623,             0.95893,              0.4435,            0.036524,             0.01265,            0.003676,            0.006271,            0.006271,            0.006271
                 115,            0.036045,            0.013801,           0.0041406,             0.96149,             0.93363,              0.9731,             0.48188,            0.045279,            0.012603,           0.0032036,            0.006238,            0.006238,            0.006238
                 116,            0.040231,            0.014025,           0.0049654,             0.96107,             0.92863,             0.97267,             0.47575,            0.041387,            0.012726,           0.0029823,            0.006205,            0.006205,            0.006205
                 117,            0.036571,            0.014023,           0.0030504,             0.97352,             0.92859,             0.96282,             0.46296,            0.039095,            0.013123,           0.0030086,            0.006172,            0.006172,            0.006172
                 118,            0.037767,            0.014025,            0.004823,                0.95,             0.88938,             0.93703,             0.45288,            0.040248,            0.013173,           0.0031589,            0.006139,            0.006139,            0.006139
                 119,            0.038701,            0.013514,           0.0044576,             0.94593,             0.90348,             0.93754,             0.42677,            0.046122,            0.013257,           0.0030554,            0.006106,            0.006106,            0.006106
                 120,            0.036184,            0.013305,           0.0042631,             0.95174,             0.94779,             0.96786,             0.47423,            0.041329,            0.012814,            0.003387,            0.006073,            0.006073,            0.006073
